,categories,text
0,1,"Iran Says Its Missiles Can Now Reach 1,250 Miles  TEHRAN (Reuters) - Iran has increased the range of its  missiles to 1,250 miles, a senior official was quoted as saying  on Tuesday."
1,1,Italian women kidnapped in raid on relief agency BAGHDADGunmen kidnapped two Italian women working for an aid agency and two Iraqis in broad daylight in central Baghdad yesterday.
2,1,"Insurgent Alliance  Is Fraying  in Fallujah Relations are deteriorating among insurgents as local fighters negotiate to avoid a U.S.-led military offensive against Fallujah, while foreign fighters press to attack Americans and their Iraqi supporters."
3,1,Rahul the  #39;darling #39; at AICC conclave New Delhi: Prime Minister Manmohan Singh today virtually took a back seat at the AICC session which saw many delegates hailing Rahul Gandhi as the future leader with not so subtle hints.
4,1,"Judges Postpone Milosevic Trial for Month (AP) AP - Stalled by reluctant witnesses and an uncooperative defendant, judges in Slobodan Milosevic's war crimes trial adjourned the proceedings for a month Wednesday to give the former Yugoslav president's court-appointed lawyers time to prepare their case."
5,1,"Bush outlines his vision A triumphant George Bush has attempted to reach out to the world, insisting that  quot;every civilised country quot; has a stake in the US-led war on terror."
6,1,"10 armymen among 12 killed in Kashmir explosion: India News: Srinagar, Dec 5 : Twelve persons, including ten army troopers, were killed in a landmine explosion around midnight Saturday night in south Kashmir #39;s Pulwama district."
7,1,"Meta Arafat! Palestinians deserve his dream The next step is for all Palestinians to participate in elections, including those in occupied territories and in exile. By Omar Merhi."
8,1,"Timeline: Margaret Hassan Margaret Hassan, who works for charity Care International, was taken hostage while on her way to work in Baghdad. Here are the main events since her kidnapping."
9,1,"G7: Oil Prices a Risk to Economic Growth (Reuters) Reuters - High oil prices pose a risk to the\global economy, but the economic outlook for 2005 is still\favorable, the Group of Seven nations said in a statement\following their meeting on Friday."
10,1,Kenya MPs rebel over constitution Some 80 Kenyan MPs storm out of parliament in the latest twist in a row over a new constitution. 
11,1,Day Six preview Day six of the Olympics will see Great Britain's Nathan Robertson and Gail Emms go for gold in badminton.
12,1,Grand ayatollah brokers deal The senior Shiite cleric #39;s spokesman says that Muqtada al-Sadr #39;s army will abandon the Imam Ali shrine today. BY HANNAH ALLAM.
13,1,"Families row over home PC access Arguments over who gets to use the home computer are breaking out in families across the UK, says a survey."
14,1,"29 killed in Moroccan bus collision Twenty-nine people were killed and 30 others injured when a bus crashed into a truck and a taxi in Morocco on Saturday, the state news agency MAP reported."
15,1,Britain to try Hamza on 16 charges British judges in London Tuesday ordered radical Muslim imam Abu Hamza to stand trial for soliciting murder and inciting racial hatred.
16,1,Weekly Report On Israeli Human Rights Violations Israeli Occupation Forces have perpetrated more human rights violations against Palestinian civilians in the Occupied Palestinian Territory.
17,1,"Foreigners Pour Out of Ivory Coast Frightened foreigners, many of them longtime residents of this country, piled into buses, boats and planes Saturday as a French-run evacuation widened, despite "
